Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Influenza,States,Montana,2021,Age,25-34 Years,61.2,57.2 to 65.0,710,MT,2021,276200,31400,4.7631304508904435
Influenza,States,Montana,2021,Age,>=35 Years,60.4,52.3 to 68.1,176,MT,2021,276200,31400,4.7631304508904435
Tdap,States,Montana,2021,Age,>=18 Years,76.9,74.0 to 79.6,1070,MT,2021,276200,31400,4.7631304508904435
Tdap,States,Montana,2021,Age,18-24 Years,73.0,65.7 to 79.5,221,MT,2021,276200,31400,4.7631304508904435
Tdap,States,Montana,2021,Age,25-34 Years,79.1,75.6 to 82.3,679,MT,2021,276200,31400,4.7631304508904435
Tdap,States,Montana,2021,Age,>=35 Years,73.3,65.5 to 80.1,170,MT,2021,276200,31400,4.7631304508904435
Influenza,States,Connecticut,2014,Age,18-24 Years,64.8,56.9 to 72.2,249,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Age,25-34 Years,63.8,59.0 to 68.4,714,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Age,>=35 Years,73.3,65.7 to 80.0,243,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Race and Ethnicity,"White, Non-Hispanic",66.9,61.1 to 72.3,293,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Race and Ethnicity,"Black, Non-Hispanic",61.0,55.1 to 66.7,285,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Race and Ethnicity,Hispanic,66.5,61.3 to 71.4,358,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.6,59.6 to 71.3,270,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2021,Age,>=18 Years,69.9,66.8 to 72.9,1285,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Age,18-24 Years,63.0,53.9 to 71.5,172,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Age,25-34 Years,68.1,63.9 to 72.1,778,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Age,>=35 Years,77.5,71.8 to 82.6,335,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2014,Age,>=18 Years,66.0,62.5 to 69.4,1206,CT,2014,1009500,83700,NA
Influenza,States,Connecticut,2021,Race and Ethnicity,"White, Non-Hispanic",76.5,71.0 to 81.4,277,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Race and Ethnicity,"Black, Non-Hispanic",49.7,44.0 to 55.4,307,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Race and Ethnicity,Hispanic,65.2,60.6 to 69.6,441,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",71.3,65.4 to 76.7,260,CT,2021,1004200,65300,NA
Influenza,States,Connecticut,2019,Age,>=18 Years,74.8,71.6 to 77.8,1169,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Age,18-24 Years,62.5,52.9 to 71.4,168,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2017,Age,>=18 Years,69.9,66.7 to 73.0,1403,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Age,18-24 Years,61.6,53.2 to 69.5,242,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Age,25-34 Years,71.5,67.3 to 75.4,842,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Age,>=35 Years,71.0,64.0 to 77.4,319,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Race and Ethnicity,"White, Non-Hispanic",72.9,67.2 to 78.1,279,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Race and Ethnicity,"Black, Non-Hispanic",61.1,55.5 to 66.5,327,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Race and Ethnicity,Hispanic,67.9,63.1 to 72.4,440,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.7,63.6 to 73.5,356,CT,2017,1016600,68500,NA
Influenza,States,Connecticut,2016,Age,>=18 Years,70.3,67.0 to 73.4,1264,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Age,18-24 Years,68.0,59.1 to 76.0,190,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Age,25-34 Years,69.8,65.6 to 73.8,780,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Age,>=35 Years,73.1,66.3 to 79.2,294,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Race and Ethnicity,"White, Non-Hispanic",71.7,66.1 to 76.9,286,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Race and Ethnicity,"Black, Non-Hispanic",63.8,58.2 to 69.1,313,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Race and Ethnicity,Hispanic,70.4,65.3 to 75.2,344,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.4,65.1 to 75.3,320,CT,2016,1022300,64600,NA
Influenza,States,Connecticut,2015,Age,>=18 Years,66.5,62.5 to 70.3,1001,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Age,18-24 Years,56.9,47.4 to 66.0,183,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Age,25-34 Years,68.1,62.9 to 73.0,601,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Age,>=35 Years,69.6,60.7 to 77.6,217,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Race and Ethnicity,"White, Non-Hispanic",65.1,58.6 to 71.2,238,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Race and Ethnicity,"Black, Non-Hispanic",62.4,56.1 to 68.4,253,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Race and Ethnicity,Hispanic,70.0,64.1 to 75.5,274,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",72.8,66.6 to 78.4,236,CT,2015,1015700,75500,NA
Influenza,States,Connecticut,2018,Age,>=18 Years,70.3,67.0 to 73.5,1398,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Age,18-24 Years,69.3,60.5 to 77.2,245,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Age,25-34 Years,70.9,66.5 to 75.0,813,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Age,>=35 Years,69.7,63.0 to 75.8,340,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Race and Ethnicity,"White, Non-Hispanic",73.3,67.5 to 78.6,291,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Race and Ethnicity,"Black, Non-Hispanic",60.7,55.1 to 66.1,348,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Race and Ethnicity,Hispanic,67.3,62.2 to 72.1,443,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.3,69.1 to 79.0,316,CT,2018,1009300,66400,NA
Influenza,States,Connecticut,2019,Age,25-34 Years,74.0,69.7 to 77.9,717,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Age,>=35 Years,83.3,77.6 to 88.0,284,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Race and Ethnicity,"White, Non-Hispanic",79.8,74.2 to 84.6,257,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Race and Ethnicity,"Black, Non-Hispanic",60.3,54.2 to 66.2,269,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Race and Ethnicity,Hispanic,72.3,67.4 to 76.8,386,CT,2019,996400,70300,NA
Influenza,States,Connecticut,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",72.1,66.2 to 77.5,257,CT,2019,996400,70300,NA
Influenza,States,Georgia,2013,Race and Ethnicity,"White, Non-Hispanic",29.6,22.2 to 37.8,307,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Race and Ethnicity,"Black, Non-Hispanic",16.6,10.2 to 24.8,302,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Race and Ethnicity,Hispanic,NR*,NR*,59,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,36,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Age,>=35 Years,20.1,9.7 to 34.6,84,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2021,Age,>=18 Years,38.4,33.9 to 43.0,769,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Age,18-24 Years,27.4,18.4 to 38.0,146,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Age,25-34 Years,40.2,34.4 to 46.3,440,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Age,>=35 Years,44.2,34.1 to 54.7,183,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Race and Ethnicity,"White, Non-Hispanic",47.9,40.6 to 55.3,299,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Race and Ethnicity,"Black, Non-Hispanic",23.3,17.1 to 30.5,299,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Race and Ethnicity,Hispanic,42.3,30.5 to 54.8,117,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,49,GA,2021,2740900,533600,2.875627286519154
Influenza,States,Georgia,2013,Age,>=18 Years,23.4,18.7 to 28.6,707,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Age,18-24 Years,14.7,8.3 to 23.4,247,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2013,Age,25-34 Years,29.3,22.4 to 37.0,376,GA,2013,2327000,764000,2.875627286519154
Influenza,States,Georgia,2018,Age,>=18 Years,40.3,35.7 to 45.1,738,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Age,18-24 Years,29.3,21.5 to 38.1,198,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Age,25-34 Years,45.3,38.9 to 51.9,407,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Age,>=35 Years,42.0,31.0 to 53.6,133,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Race and Ethnicity,"White, Non-Hispanic",48.8,41.6 to 56.1,289,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Race and Ethnicity,"Black, Non-Hispanic",24.7,17.9 to 32.5,283,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Race and Ethnicity,Hispanic,43.5,32.2 to 55.3,120,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,42,GA,2018,2649600,568600,2.875627286519154
Influenza,States,Georgia,2017,Age,>=18 Years,42.0,37.4 to 46.7,921,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Age,18-24 Years,33.5,24.5 to 43.5,182,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Age,25-34 Years,45.6,39.5 to 51.8,530,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Age,>=35 Years,40.8,29.8 to 52.5,209,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Race and Ethnicity,"White, Non-Hispanic",47.6,40.3 to 55.0,349,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Race and Ethnicity,"Black, Non-Hispanic",33.4,25.8 to 41.7,399,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Race and Ethnicity,Hispanic,39.0,28.2 to 50.7,122,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,50,GA,2017,2644900,548400,2.875627286519154
Influenza,States,Georgia,2019,Age,>=18 Years,40.2,35.8 to 44.8,771,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Age,18-24 Years,25.3,17.5 to 34.4,182,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Age,25-34 Years,42.4,36.4 to 48.5,430,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Age,>=35 Years,53.5,42.9 to 63.9,159,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Race and Ethnicity,"White, Non-Hispanic",50.1,43.0 to 57.2,310,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Race and Ethnicity,"Black, Non-Hispanic",26.6,20.3 to 33.7,313,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Race and Ethnicity,Hispanic,45.7,32.9 to 58.9,104,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Georgia,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,41,GA,2019,2683100,549800,2.875627286519154
Influenza,States,Wisconsin,2018,Age,>=18 Years,63.8,59.4 to 68.0,1021,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Age,18-24 Years,56.8,46.7 to 66.5,262,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Age,25-34 Years,65.9,60.4 to 71.1,613,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Age,>=35 Years,64.8,53.3 to 75.2,146,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Race and Ethnicity,"White, Non-Hispanic",63.2,57.2 to 69.0,290,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Race and Ethnicity,"Black, Non-Hispanic",58.1,53.0 to 63.0,391,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Race and Ethnicity,Hispanic,72.1,64.2 to 79.1,152,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.8,57.8 to 73.2,185,WI,2018,1581300,119300,3.4535347156802865
Influenza,States,Wisconsin,2016,Age,>=18 Years,70.2,66.1 to 74.0,1197,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Age,18-24 Years,61.9,51.7 to 71.4,288,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Age,25-34 Years,71.6,66.6 to 76.3,728,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Age,>=35 Years,74.1,63.6 to 82.9,181,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Race and Ethnicity,"White, Non-Hispanic",71.0,65.5 to 76.1,327,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Race and Ethnicity,"Black, Non-Hispanic",64.6,58.9 to 70.0,479,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Race and Ethnicity,Hispanic,71.3,63.3 to 78.4,163,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.4,61.6 to 76.4,226,WI,2016,1600500,106500,3.4535347156802865
Influenza,States,Wisconsin,2019,Age,>=18 Years,68.4,64.0 to 72.6,823,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Age,18-24 Years,65.7,54.9 to 75.4,174,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Age,25-34 Years,68.7,63.1 to 73.9,506,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Age,>=35 Years,70.4,59.0 to 80.2,143,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Race and Ethnicity,"White, Non-Hispanic",70.0,63.9 to 75.6,279,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Race and Ethnicity,"Black, Non-Hispanic",53.3,46.4 to 60.1,229,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Race and Ethnicity,Hispanic,73.0,65.2 to 79.9,158,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.8,60.5 to 76.3,157,WI,2019,1588800,113400,3.4535347156802865
Influenza,States,Wisconsin,2017,Age,>=18 Years,66.3,62.3 to 70.2,1300,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Age,18-24 Years,61.6,52.4 to 70.2,402,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Age,25-34 Years,68.9,63.9 to 73.6,731,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Age,>=35 Years,61.0,49.4 to 71.8,167,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Race and Ethnicity,"White, Non-Hispanic",67.3,61.8 to 72.5,329,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Race and Ethnicity,"Black, Non-Hispanic",56.3,51.0 to 61.5,560,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Race and Ethnicity,Hispanic,64.2,56.4 to 71.5,169,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",72.8,65.9 to 79.0,237,WI,2017,1598500,101600,3.4535347156802865
Influenza,States,Wisconsin,2021,Race and Ethnicity,"White, Non-Hispanic",68.4,61.8 to 74.5,242,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Race and Ethnicity,"Black, Non-Hispanic",44.7,37.4 to 52.2,208,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Race and Ethnicity,Hispanic,60.2,51.8 to 68.2,153,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.9,62.6 to 78.3,142,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Race and Ethnicity,"White, Non-Hispanic",80.0,73.8 to 85.3,234,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Race and Ethnicity,"Black, Non-Hispanic",73.4,65.9 to 80.0,189,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Race and Ethnicity,Hispanic,83.2,75.6 to 89.2,136,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.0,77.4 to 90.8,130,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Age,>=18 Years,65.4,60.7 to 69.9,746,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Age,18-24 Years,49.3,36.8 to 61.8,134,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Age,25-34 Years,67.9,61.9 to 73.5,451,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2021,Age,>=35 Years,68.4,58.1 to 77.6,161,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Age,>=18 Years,80.1,75.6 to 84.1,690,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Age,18-24 Years,69.7,55.8 to 81.4,114,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Age,25-34 Years,83.3,77.6 to 88.0,421,WI,2021,1601300,96200,3.4535347156802865
Tdap,States,Wisconsin,2021,Age,>=35 Years,76.7,66.6 to 85.0,155,WI,2021,1601300,96200,3.4535347156802865
Influenza,States,Wisconsin,2015,Age,>=18 Years,64.5,60.3 to 68.6,1369,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Age,18-24 Years,51.8,42.2 to 61.3,403,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Age,25-34 Years,66.0,60.7 to 71.0,765,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Age,>=35 Years,76.4,66.4 to 84.7,201,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2013,Age,>=18 Years,65.7,61.6 to 69.7,1422,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Age,18-24 Years,59.0,50.5 to 67.1,485,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Age,25-34 Years,70.6,65.6 to 75.3,790,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Age,>=35 Years,51.9,38.5 to 65.1,147,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Race and Ethnicity,"White, Non-Hispanic",67.1,61.6 to 72.3,355,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Race and Ethnicity,"Black, Non-Hispanic",55.5,50.9 to 60.0,640,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Race and Ethnicity,Hispanic,66.7,59.5 to 73.3,197,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.5,55.4 to 71.1,228,WI,2013,1535700,182600,3.4535347156802865
Influenza,States,Wisconsin,2015,Race and Ethnicity,"White, Non-Hispanic",64.5,58.8 to 69.9,335,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Race and Ethnicity,"Black, Non-Hispanic",60.4,55.7 to 64.9,626,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Race and Ethnicity,Hispanic,64.6,57.3 to 71.4,197,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.6,61.6 to 76.8,208,WI,2015,1606200,110100,3.4535347156802865
Influenza,States,Wisconsin,2014,Age,>=18 Years,65.5,61.4 to 69.4,1385,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Age,18-24 Years,54.9,45.9 to 63.7,426,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Age,25-34 Years,68.5,63.6 to 73.2,795,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Age,>=35 Years,68.6,56.5 to 79.1,164,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Race and Ethnicity,"White, Non-Hispanic",64.8,59.3 to 70.0,338,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Race and Ethnicity,"Black, Non-Hispanic",62.3,57.8 to 66.7,623,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Race and Ethnicity,Hispanic,69.3,62.2 to 75.8,190,WI,2014,1567500,148400,3.4535347156802865
Influenza,States,Wisconsin,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.5,62.9 to 77.3,231,WI,2014,1567500,148400,3.4535347156802865
Tdap,States,Wisconsin,2016,Age,>=18 Years,81.2,77.6 to 84.5,1105,WI,2016,1600500,106500,3.4535347156802865
Tdap,States,Wisconsin,2015,Age,>=18 Years,68.2,63.8 to 72.4,1160,WI,2015,1606200,110100,3.4535347156802865
Tdap,States,Wisconsin,2014,Age,>=18 Years,60.5,56.1 to 64.7,1203,WI,2014,1567500,148400,3.4535347156802865
Tdap,States,Wisconsin,2013,Age,>=18 Years,43.3,38.9 to 47.8,1198,WI,2013,1535700,182600,3.4535347156802865
Tdap,States,Wisconsin,2012,Age,>=18 Years,18.8,15.4 to 22.5,1208,WI,2012,1530500,188500,3.4535347156802865
Tdap,States,Wisconsin,2020,Age,>=18 Years,81.7,78.5 to 84.6,1498,WI,2020,NA,NA,3.4535347156802865
Tdap,States,Wisconsin,2019,Age,>=18 Years,77.9,73.6 to 81.8,755,WI,2019,1588800,113400,3.4535347156802865
Tdap,States,Wisconsin,2017,Age,>=18 Years,78.1,74.3 to 81.5,1200,WI,2017,1598500,101600,3.4535347156802865
Tdap,States,Wisconsin,2018,Age,>=18 Years,78.8,74.9 to 82.4,941,WI,2018,1581300,119300,3.4535347156802865
Tdap,States,Wisconsin,2016,Age,18-24 Years,79.2,69.7 to 86.8,269,WI,2016,1600500,106500,3.4535347156802865
Tdap,States,Wisconsin,2017,Age,18-24 Years,78.0,69.4 to 85.1,373,WI,2017,1598500,101600,3.4535347156802865
Tdap,States,Wisconsin,2015,Age,18-24 Years,58.8,48.2 to 68.8,342,WI,2015,1606200,110100,3.4535347156802865
Tdap,States,Wisconsin,2014,Age,18-24 Years,44.9,35.6 to 54.5,360,WI,2014,1567500,148400,3.4535347156802865
Tdap,States,Wisconsin,2013,Age,18-24 Years,44.4,35.2 to 53.9,398,WI,2013,1535700,182600,3.4535347156802865
Tdap,States,Wisconsin,2012,Age,18-24 Years,18.3,11.7 to 26.6,410,WI,2012,1530500,188500,3.4535347156802865
Tdap,States,Wisconsin,2020,Age,18-24 Years,76.1,67.5 to 83.4,320,WI,2020,NA,NA,3.4535347156802865
Tdap,States,Wisconsin,2012,Age,25-34 Years,20.3,15.9 to 25.3,638,WI,2012,1530500,188500,3.4535347156802865
Tdap,States,Wisconsin,2018,Age,18-24 Years,73.3,63.2 to 81.9,236,WI,2018,1581300,119300,3.4535347156802865
Tdap,States,Wisconsin,2019,Age,18-24 Years,74.2,63.3 to 83.2,153,WI,2019,1588800,113400,3.4535347156802865
Tdap,States,Wisconsin,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",82.6,77.5 to 87.0,582,WI,2020,NA,NA,3.4535347156802865
Tdap,States,Wisconsin,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",78.7,70.5 to 85.5,143,WI,2019,1588800,113400,3.4535347156802865
Tdap,States,Wisconsin,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",80.1,73.4 to 85.7,218,WI,2017,1598500,101600,3.4535347156802865
Tdap,States,Wisconsin,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",76.6,68.8 to 83.2,168,WI,2018,1581300,119300,3.4535347156802865
Tdap,States,Wisconsin,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",80.9,73.6 to 86.9,208,WI,2016,1600500,106500,3.4535347156802865
Tdap,States,Wisconsin,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.5,54.4 to 72.0,177,WI,2015,1606200,110100,3.4535347156802865
Tdap,States,Wisconsin,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",60.4,51.8 to 68.6,199,WI,2014,1567500,148400,3.4535347156802865
Tdap,States,Wisconsin,2020,Race and Ethnicity,Hispanic,85.4,80.1 to 89.7,280,WI,2020,NA,NA,3.4535347156802865
Tdap,States,Wisconsin,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",35.8,27.7 to 44.5,198,WI,2013,1535700,182600,3.4535347156802865
Tdap,States,Wisconsin,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",23.6,16.8 to 31.6,186,WI,2012,1530500,188500,3.4535347156802865
